Character,Dialogue,EpisodeNo,SEID,Season
JERRY,"(upset) Ohhhh, what are you doing? Kessler, its a tape! I taped the game, its one oclock in the morning! I avoided human contact all night to watch this.",1,S01E01,1
KESSLER,"Hey, Im sorry, I- you know, I, I thought you knew. (takes two loaves of bread out of his pockets, and holds them out to Jerry.) You got any meat?",1,S01E01,1
JERRY,"Meat? I dont, I dont know, go... hunt! (Kessler opens the refrigerator and sticks his head in.) Well what happened in the game anyway?",1,S01E01,1
KESSLER,"(from the refrigerator) What happened? Well, they STUNK, thats what happened!",1,S01E01,1
KESSLER,"You know, I almost wound up going to that game.",1,S01E01,1
JERRY,(cynical) Yeah you almost went to the game. You havent been out of the building in ten years!,1,S01E01,1
KESSLER,"Yeah. (Jerry sits down on the couch. Kessler walks over with his sandwich and looks at Jerry and uses expressions to ask Jerry to move the newspapers on the other side of the couch so he could site down. Kessler sits down next to him and starts turning over the pages of a magazine. Suddenly he spots an article he likes and tears it out. Jerry gives him a look as if to say, Do you mind?) Are you done with this?",1,S01E01,1
JERRY,No.,1,S01E01,1
KESSLER,"When youre done, let me know.",1,S01E01,1
JERRY,"Yeah, yeah...you can have it tomorrow.",1,S01E01,1
KESSLER,I thought I wasnt allowed to be in here this weekend.,1,S01E01,1
JERRY,"No, its okay now, that, that girl is not comin. Uh, I misread the whole thing.",1,S01E01,1
KESSLER,You want me to talk to her?,1,S01E01,1
JERRY,I dont think so.,1,S01E01,1
KESSLER,"Oh, I can be very persuasive. Do you know that I was almost... a lawyer.",1,S01E01,1
JERRY,"That close, huh?",1,S01E01,1
KESSLER,You better believe it.,1,S01E01,1
JERRY,"Hello...Oh, hi, Laura.",1,S01E01,1
KESSLER,"Oh, give me it...let me talk to her.",1,S01E01,1
JERRY,"(to the phone) No believe me, Im always up at this hour. How are you?... Great... Sure... What time does the plane get in?... I got my friend George to take me...",1,S01E01,1
KESSLER,(to the TV) SLIDE! Wow!,1,S01E01,1
JERRY,"No, its, its just my neighbour... Um... Yeah, I got it. (Jerry takes a pencil and a cereal box to write on.) Ten-fifteen... No, dont be silly, go ahead and ask... Yeah, sure... Okay, great, no no, its no trouble at all... Ill see you tomorrow... Great, bye. (He hangs up the phone; to Kessler) I dont believe it. That was her. She wants to stay here!",1,S01E01,1
JERRY,"If my father was moving this hed had to have a cigarette in his mouth the whole way. (as his father) 'Have you got your end?...Your ends got to come down first, easy now, drop it down...drop it down, your ends got to come down.'",1,S01E01,1
GEORGE,"You know, I cant believe youre bringin in an extra bed for woman that wants to sleep with you. Why dont you bring in an extra guy too?",1,S01E01,1
JERRY,"Look, its a very awkward situation. I dont wanna be presumptuous.",1,S01E01,1
GEORGE,"All right, all right, one more time, one more time! What was the exact phrasing of the request?",1,S01E01,1
JERRY,"All right, she said she couldnt find a decent hotel room...",1,S01E01,1
GEORGE,A decent hotel-room...,1,S01E01,1
JERRY,"Yeah, a decent hotel-room, would it be terribly inconvenient if she stayed at my place.",1,S01E01,1
GEORGE,"You cant be serious. This is New York city. There must be eleven million decent hotel rooms! Whatta you need? A flag? (waving his handkerchief) This is the signal, Jerry, this is the signal!",1,S01E01,1
JERRY,"(cynical) This is the signal? Thank you, Mr. Signal. Where were you yesterday?",1,S01E01,1
GEORGE,I think I was affected by the caffeine.,1,S01E01,1
GEORGE,"Ho, ho, ho, good dog, good dog...",1,S01E01,1
KESSLER,"Hey, he really likes you, George.",1,S01E01,1
GEORGE,"Well, thats flattering.",1,S01E01,1
KESSLER,"Oh, hes gettin a drink of water. (pointing to the mattress) Is this for that girl?",1,S01E01,1
JERRY,Yeah.,1,S01E01,1
KESSLER,Why even give her an option?,1,S01E01,1
JERRY,"This is a person I like, its not How to score on spring break.",1,S01E01,1
GEORGE,"Right, can we go? Cause Im double-parked, Im gonna get a ticket.",1,S01E01,1
JERRY,"Yeah, okay. Oh, wait a second. Oh, I forgot to clean the bathroom.",1,S01E01,1
GEORGE,So what? Thats good.,1,S01E01,1
JERRY,"Now, how could that be good?",1,S01E01,1
GEORGE,"Because filth is good. Whaddaya think, rock stars have sponges and ammonia lyin around the bathroom? They, have a woman comin over, Ive gotta tidy up? Yeah right, in these matters you never do what your instincts tell you. Always, ALWAYS do the opposite.",1,S01E01,1
JERRY,This is how you operate?,1,S01E01,1
GEORGE,"Yeah, I wish.",1,S01E01,1
JERRY,Let me just wipe the sink.,1,S01E01,1
KESSLER,Why even give her an option for?,1,S01E01,1
KESSLER,"(to George, pointing at the mattress) Its unbelievable.",1,S01E01,1
GEORGE,Yeah.,1,S01E01,1
KESSLER,Hows the real estate-business?,1,S01E01,1
GEORGE,"(feeling awkward) Its uh, not bad, its comin along. Why? Did you need something.",1,S01E01,1
KRAMER,Do you handle any of that commercial...real estate?,1,S01E01,1
GEORGE,"Well, I might be getting into that.",1,S01E01,1
KESSLER,(slaps George on the arm) You keep me posted!,1,S01E01,1
GEORGE,"Im aware of you. (to Jerry) All right, lets go (opens the bathroom door) Lets go!",1,S01E01,1
JERRY,"The dating world is not a fun world...its a pressure world, its a world of tension, its a world of pain...and you know, if a woman comes over to my house, I gotta get that bathroom ready, cause she needs things. Women need equipment. I dont know what they need. I know I dont have it, I know that- You know what they need, women seem to need a lot of cotton-balls. This is the one Im- always has been one of the amazing things to me...I have no cotton-balls, were all human beings, what is the story? Ive never had one...I never bought one, I never needed one, Ive never been in a situation, when I thought to myself I could use a cotton-ball right now. I can certainly get out of this mess. Women need them and they dont need one or two, they need thousands of them, they need bags, theyre like peat moss bags, have you ever seen these giant bags? Theyre huge and two days later, theyre out, theyre gone, the, the bag is empty, where are the cotton-balls, ladies? What are you doin with them? The only time I ever see em is in the bottom of your little waste basket, theres two or three, that look like theyve been through some horrible experience... tortured, interrogated, I dont know what happened to them. I once went out with a girl whos left a little zip-lock-baggy of cotton-balls over at my house. I dont know what to do with them, I took them out, I put them on my kitchen floor like little tumbleweeds. I thought maybe the cockroaches would see it, figure this is a dead town. Lets move on. The dating world is a world of pressure. Lets face it a date is a job interview that lasts all night. The only difference between a date and a job interview is not many job interviews is there a chance youll end up naked at the end of it. You know? Well, Bill, the boss thinks youre the man for the position, why dont you strip down and meet some of the people youll be workin with?",1,S01E01,1
JERRY,Wouldnt it be great if you could ask a woman what shes thinking?,1,S01E01,1
GEORGE,"What a world that would be, if you just could ask a woman what shes thinkin.",1,S01E01,1
JERRY,"You know, instead, Im like a detective. I gotta pick up clues, the whole thing is a murder investigation.",1,S01E01,1
GEORGE,"Listen, listen, dont get worked up, cause youre gonna know the whole story the minute she steps off the plane.",1,S01E01,1
JERRY,Really? How?,1,S01E01,1
GEORGE,Cause its all in the greeting.,1,S01E01,1
JERRY,Uh-huh.,1,S01E01,1
GEORGE,"All right, if she puts the bags down before she greets you, thats a good sign.",1,S01E01,1
JERRY,Right.,1,S01E01,1
GEORGE,"You know, anything in the, in the lip area is good.",1,S01E01,1
JERRY,Lip area.,1,S01E01,1
GEORGE,You know a hug definitely good.,1,S01E01,1
JERRY,Hug is definitely good.,1,S01E01,1
GEORGE,Sure.,1,S01E01,1
JERRY,"Although what if its one of those hugs where the shoulders are touching, the hips are eight feet apart?",1,S01E01,1
GEORGE,"Thats so brutal, I hate that.",1,S01E01,1
JERRY,You know how they do that?,1,S01E01,1
GEORGE,"Thats why, you know, a shake is bad.",1,S01E01,1
JERRY,"Shake is bad, but what if its the two-hander? The hand on the bottom, the hand on the top, the warm look in the eyes?",1,S01E01,1
GEORGE,Hand sandwich.,1,S01E01,1
JERRY,Right.,1,S01E01,1
GEORGE,"I see, well, thats open to interpretation. Because so much depends on the layering and the quality of the wetness in the eyes.",1,S01E01,1
LAURA,Guess who?,1,S01E01,1
JERRY,"Hey, hey.",1,S01E01,1
LAURA & JERRY,Heeeey!,1,S01E01,1
JERRY,Its good to see you.,1,S01E01,1
LAURA,Hi.,1,S01E01,1
JERRY,This is my friend George.,1,S01E01,1
LAURA,"Hi, how nice to meet you.",1,S01E01,1
GEORGE,"Hi, how are you?",1,S01E01,1
JERRY,This is Laura.,1,S01E01,1
GEORGE,"Laura, sure.",1,S01E01,1
JERRY,(to Laura) I cant believe youre here.,1,S01E01,1
GEORGE & JERRY,"Ooh yeah, the bags, sure.",1,S01E01,1
LAURA,"Oh, thank you.",1,S01E01,1
JERRY,"(aside, to George) Now that was an interesting greeting, did you notice that, George?",1,S01E01,1
GEORGE,"Yes, the surprise blindfold greeting. That wasnt in the manual, I dont know.",1,S01E01,1
JERRY,"So uh, what do you think?",1,S01E01,1
LAURA,"Ooohhh, wow! This place isnt so bad.",1,S01E01,1
JERRY,"Yeah, it kind a motivates me to work on the road. So uh, make yourself at home. (Laura sits down on the couch, takes off her shoes and opens some buttons of her shirt.) So uh, can I get you anything? Uuhhh, bread, water...salad-dressing?",1,S01E01,1
LAURA,"(laughs) Actually, um, do you have any wine?",1,S01E01,1
JERRY,"Uh, yeah, I think I do.",1,S01E01,1
LAURA,"(referring to a lamp) Oh, do you mind if I turn this down?",1,S01E01,1
JERRY,"Uh, no, yeah, go right ahead.",1,S01E01,1
LAURA,"Uh, Jerry, uh, I was wandering, would it be possible  and if its not, fine  for me to stay here tomorrow night too?",1,S01E01,1
JERRY,"Uh, yeah, yeah, sure, why dont you stay? Yeah, uhm...What is your, what is your schedule for tomorrow? Are you, are you doin anything?",1,S01E01,1
LAURA,"No, Id love to do something. Uh, I have my seminar in the morning, then after that Im right open.",1,S01E01,1
JERRY,Really? What would you like to do?,1,S01E01,1
LAURA,"Well... now I know this sounds touristy, but Id just love to go on one of those five-hour boat rides around Manhattan.",1,S01E01,1
JERRY,"(unenthusiastic) Yeah, we could do that...why not, why not. (pouring the wine) Im just, Im really glad youre here.",1,S01E01,1
JERRY,"(answering) Yeah, hello...yes...yes, she is, hold on. (to Laura) Um, its for you.",1,S01E01,1
LAURA,"(to the phone) Hello?... Hi!... No no it was great, right on time... No, I, Im gonna stay here tomorrow...yes, yes its fine... No, were goin on a boat ride... Dont be silly... Im not gonna have this conversation... Look, Ill call you tomorrow... Okay, bye. (She hangs up the phone.) Never get engaged.",1,S01E01,1
JERRY,(not excited) Youre engaged?,1,S01E01,1
LAURA,"You, you really have no idea what its like until you actually do it. And Im on this emotional roller coaster.",1,S01E01,1
JERRY,Youre engaged?,1,S01E01,1
LAURA,"You know, I cant believe it myself sometimes. You have to start thinking in terms of we. Ugh, its a very stressful situation.",1,S01E01,1
JERRY,(matter-of-factly) Youre engaged.,1,S01E01,1
LAURA,"Yeah, yeah, hes a great guy...",1,S01E01,1
JERRY,Yeah.,1,S01E01,1
LAURA,"Youd really like him, you know, I cant wait to get on that boat.",1,S01E01,1
JERRY,Me too!,1,S01E01,1
JERRY,"I swear, I have absolutely no idea what women are thinking. I dont get it, okay? I, I, I admit, I, Im not getting the signals. I am not getting it! Women, theyre so subtle, their little...everything they do is subtle. Men are not subtle, we are obvious. Women know what men want, men know what men want, what do we want? We want women, thats it! Its the only thing we know for sure, it really is. We want women. How do we get them? Oh, we dont know bout that, we dont know. The next step after that we have no idea. This is why you see men honking car-horns, yelling from construction sites. These are the best ideas weve had so far. The car-horn honk, is that a beauty? Have you seen men doing this? What is this? The man is in the car, the woman walks by the front of the car, he honks. E-eeehh, eehhh, eehhh! This man is out of ideas. How does it...? E-e-e-eeeehhhh! I dont think she likes me. The amazing thing is, that we still get women, dont we? Men, I mean, men are with women. You see men with women. How are men getting women, many people wonder. Let me tell you a little bit about our organization. Wherever women are, we have a man working on the situation right now. Now, he may not be our best man, okay, we have a lot of areas to cover, but someone from our staff is on the scene. Thats why, I think, men get frustrated, when we see women reading articles, like Where to meet men? Were here, we are everywhere. Were honking our horns to serve you better.",1,S01E01,1
JERRY,"So, Im on line at the supermarket. Two women in front of me. One of them, her total was eight dollars, the other three dollars. They both of course choose to pay by the use of the...",1,S01E01,1
AUDIENCE,Cheque.,1,S01E01,1
JERRY,"Cheque. Now, the fact is, if its a woman in front of you thats writing the cheque, you will not be waiting long. I have noticed that women are very fast with cheques, yknow, cause they write out so many cheques. The keys, they can never find in their purse, they dont know where that is, but the cheque book they got that. They never fumble for the cheque book. The cheque book comes out of a holster (Jerry draws imaginary book from a holster.) Who do I make it out to? Theres my ID. Theres something about a cheque that, to a man, is not masculine. I dont know exactly what it is. I think to a man, a cheque is like a note from your mother that says, I dont have any money, but if youll contact these people, Im sure theyll stick up for me... If you just trust me this one time- I dont have any money but I have these. I wrote on these. Is this of any value at all?",1,S01E01,1
JERRY,Whats that one?,1,S01E01,1
ELAINE,Coccoon II The Return. I guess they didnt like it up there.,1,S01E01,1
JERRY,"Maybe they came back for Chinese food. Yknow Maureen Stapleton, if she gets a craving, shes probably screamin at those aliens, I gotta have a lo mein!",1,S01E01,1
ELAINE,"Okay, whatre we doing here? I have seen everything.",1,S01E01,1
JERRY,Oh yeah? I dont believe youve seen... this.,1,S01E01,1
ELAINE,"Oh, lovely.",1,S01E01,1
JERRY,Yeah.,1,S01E01,1
ELAINE,What do you think their parents think?,1,S01E01,1
JERRY,"So, uh, whats your son doing now, Dr. Stevens? Oh, hes a public fornicator. Yes, hes a fine boy...",1,S01E01,1
ELAINE,Yknow what? This would be a really funny gift for Pamelas birthday.,1,S01E01,1
JERRY,Pamela? Do I know her?,1,S01E01,1
ELAINE,"Yeah, you met her when we were going out.",1,S01E01,1
JERRY,"Oh yeah, right...",1,S01E01,1
ELAINE,"You have no idea who Im talking about, do you?",1,S01E01,1
JERRY,(quickly) No.,1,S01E01,1
ELAINE,"Blonde hair, remember? Glasses? (pause) Have you totally blocked out the entire time we were a couple?",1,S01E01,1
JERRY,(a lightbulb goes on in his head) Riverside Drive.,1,S01E01,1
ELAINE,"Right! In fact... No, never mind...",1,S01E01,1
JERRY,"Well, what is it?",1,S01E01,1
ELAINE,"Well, a bunch of people are getting together tomorrow night at some bar for her birthday, but... (Jerry turns in disgust) you dont want to go to... that... no.",1,S01E01,1
JERRY,"Wait a second, wait a second. We could work out a little deal here.",1,S01E01,1
ELAINE,What little deal?,1,S01E01,1
JERRY,"I will go to that, if you go with me to a little family wedding I have on Saturday.",1,S01E01,1
ELAINE,"A wedding? Have you lost it, man?",1,S01E01,1
JERRY,"Yknow, my parents are coming in for this...",1,S01E01,1
ELAINE,Theyre coming in?,1,S01E01,1
JERRY,"Yeah, tomorrow.",1,S01E01,1
ELAINE,"Hey, did your father ever get that hair weave?",1,S01E01,1
JERRY,"No, no. Still doin the big sweep across.",1,S01E01,1
ELAINE,Why does he do that?,1,S01E01,1
JERRY,"Doesnt think anyone can tell. So cmon, do we have a deal?",1,S01E01,1
ELAINE,A wedding?,1,S01E01,1
JERRY,Theres a lot of people to mock...,1,S01E01,1
ELAINE,"All right, what the hell.",1,S01E01,1
JERRY,Great!,1,S01E01,1
WOMAN,"When youre dead, youre dead. Thats it. Youre not goin anywhere...",1,S01E01,1
ELAINE,Cmon lets go...,1,S01E01,1
JERRY,Was I supposed to bring something?,1,S01E01,1
ELAINE,You could have.,1,S01E01,1
JERRY,I met her one time...,1,S01E01,1
ELAINE,It is not necessary.,1,S01E01,1
JERRY,What did you say then?,1,S01E01,1
ELAINE,Sssshhhhhh!!!,1,S01E01,1
PAMELA,Hi,1,S01E01,1
ELAINE,"Hi, Pamela, you remember Jerry.",1,S01E01,1
PAMELA,"(shakes Jerry's hand) Yes, we met.",1,S01E01,1
JERRY,"Hi, happy birthday.",1,S01E01,1
PAMELA,"Thanks, ah, everybody, this is Elaine and Jerry.",1,S01E01,1
"GUESTS, JERRY & ELAINE",Hi,1,S01E01,1
JERRY,I didnt bring anything.,1,S01E01,1
PAMELA,"Uh, I put you two right here.",1,S01E01,1
JERRY,"Oh, Okay (turns to rest of table) Im sorry, I didnt know what to bring, nobody told me.",1,S01E01,1
VANESSA,How big a tip do you think itd take to get him to stop?,1,S01E01,1
JERRY,Im in for five...,1,S01E01,1
VANESSA,Ill supply the hat.,1,S01E01,1
JERRY,(thinking) Uh-oh... What do we have here?,1,S01E01,1
VANESSA,Why dont you relax and take your jacket off?,1,S01E01,1
JERRY,"Oh, I cant. Uh, I have a tendency to get chilly.",1,S01E01,1
VANESSA,How masculine.,1,S01E01,1
JERRY,"Plus Im wearing short sleeves, I dont want to expose my tattoos. (Vanessa smiles; thinking) Shes unbelievable!",1,S01E01,1
ROGER,"(to Vanessa) Hey, this guy says he knows Bricker.",1,S01E01,1
VANESSA,"Oh, you know Bricker! From where?",1,S01E01,1
JERRY,"(thinking) Whats going on here? Gotta be her boyfriend, shes too good to be alone. Whats the difference, I cant maneouver anyway with Elaine next to me.",1,S01E01,1
VANESSA,(to Jerry) How do you know Pamela?,1,S01E01,1
JERRY,"Uh, friend of a friend. And you?",1,S01E01,1
VANESSA,We went to law school together.,1,S01E01,1
ELAINE,"(interrupting Jerry's conversation) Oh, Jerry!",1,S01E01,1
JERRY,"(turning to Elaine; thinking) Oh no, not now.",1,S01E01,1
ELAINE,I had this dream last night and you were in it.,1,S01E01,1
JERRY,"Oh really? (tries turning away in the hopes Elaine gets the hint; thinking) Oh God, I gotta get out of this.",1,S01E01,1
ELAINE,"You were you, but, you werent you...",1,S01E01,1
JERRY,"No kidding. (thinking) Why is this happening? Please, make her stop!",1,S01E01,1
ELAINE,"I think, I think we were in my house where I grew up, and you were standing there, you were looking out the window...",1,S01E01,1
JERRY,(thinking) This is brutal.,1,S01E01,1
ELAINE,You turned around and you had these wooden teeth.,1,S01E01,1
JERRY,"How do you like that? (tries to turn away again; thinking)Can I turn now? Is this over? No, I cant, I cant. Im stuck.",1,S01E01,1
ELAINE,(noticing Jerry not wanting to listen; annoyed) Jerry? Are you listening to me?,1,S01E01,1
JERRY,"Yes, I heard you.",1,S01E01,1
PAMELA,"Elaine, whats the name of that jewelry store you took me to that time?",1,S01E01,1
JERRY,"(thinking) Thank you, Pamela! (turns to talk to Vanessa; to Vanessa) So, youre a lawyer...",1,S01E01,1
VANESSA,"Sagman, Bennet, Robbins, Oppenheim and Taft.",1,S01E01,1
JERRY,"(thinking) Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft... (to Vanessa) Of course, they handled my tattoo removal lawsuit.",1,S01E01,1
VANESSA,"Oh, that was you?",1,S01E01,1
JERRY,"Imagine, spelling Mom with two Os.",1,S01E01,1
VANESSA,Very funny! What do you do?,1,S01E01,1
JERRY,Comedian.,1,S01E01,1
VANESSA,Really? That explains it.,1,S01E01,1
JERRY,"(thinking; quickly) Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft.",1,S01E01,1
ROGER,Are you ready?,1,S01E01,1
VANESSA,We gotta run. Happy birthday!,1,S01E01,1
JERRY,"(thinking) I cant believe it. I got nothing! I dont even know her name! Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppen... Sagman... Sag...",1,S01E01,1
JERRY,"That wasnt so bad, really.",1,S01E01,1
ELAINE,"Yknow, um, you could use a little work on your manners.",1,S01E01,1
JERRY,Why? What did I do?,1,S01E01,1
ELAINE,"Wel-Well, I just dont appreciate these little courtesy responses, like Im selling you aluminum siding.",1,S01E01,1
JERRY,I was listening!,1,S01E01,1
ELAINE,No! You couldnt wait to get back to your little... conversation.,1,S01E01,1
JERRY,"No, you were talking about the, the um, the dream you had.",1,S01E01,1
